Date,USD,GBP
1999-01-04,1.0591,0.87213
1999-01-05,1.0558,0.87098
1999-01-06,1.0565,0.8661
1999-01-07,1.0569,0.8682
1999-01-08,1.0538,0.86545
1999-01-11,1.0524,0.86415
1999-01-12,1.0619,0.8626
1999-01-13,1.0604,0.86265
1999-01-14,1.0582,0.8639
1999-01-15,1.0531,0.8652
1999-01-18,1.0563,0.8651
1999-01-19,1.0526,0.86605
1999-01-20,1.0497,0.86588
1999-01-21,1.0469,0.86775
1999-01-22,1.053,0.86628
1999-01-25,1.0594,0.86458
1999-01-26,1.0539,0.86333
1999-01-27,1.0536,0.8681
1999-01-28,1.0605,0.8702
1999-01-29,1.0633,0.86965
1999-02-01,1.0647,0.86795
1999-02-02,1.0635,0.86713
1999-02-03,1.0702,0.8653
1999-02-04,1.0713,0.86263
1999-02-05,1.0663,0.86141
1999-02-08,1.0658,0.85878
1999-02-09,1.073,0.85995
1999-02-10,1.0733,0.8609
1999-02-11,1.0713,0.85925
1999-02-12,1.0724,0.8565
1999-02-15,1.0704,0.85735
1999-02-16,1.071,0.859
1999-02-17,1.0745,0.85503
1999-02-18,1.0731,0.85535
1999-02-19,1.0801,0.8555
1999-02-22,1.0844,0.85538
1999-02-23,1.0868,0.85718
1999-02-24,1.0886,0.8592
1999-02-25,1.0803,0.8586
1999-02-26,1.0808,0.85815
1999-03-01,1.0808,0.85643
1999-03-02,1.084,0.8565
1999-03-03,1.0805,0.85653
1999-03-04,1.0887,0.85288
1999-03-05,1.0908,0.85475
1999-03-08,1.0867,0.85493
1999-03-09,1.09,0.85395
1999-03-10,1.0916,0.85645
1999-03-11,1.0926,0.85955
1999-03-12,1.093,0.86215
1999-03-15,1.1004,0.86415
1999-03-16,1.1019,0.86313
1999-03-17,1.0968,0.8618
1999-03-18,1.0944,0.86158
1999-03-19,1.0984,0.86163
1999-03-22,1.0946,0.86193
1999-03-23,1.0932,0.86468
1999-03-24,1.0985,0.86038
1999-03-25,1.097,0.85865
1999-03-26,1.1023,0.85765
1999-03-29,1.101,0.8556
1999-03-30,1.1125,0.85885
1999-03-31,1.1059,0.85695
1999-04-01,1.1051,0.86148
1999-04-02,1.1096,0.8635
1999-04-05,1.1123,0.86706
1999-04-06,1.1197,0.8692
1999-04-07,1.1222,0.86918
1999-04-08,1.1255,0.85838
