user_id,gender_id,age,country_id
62,2,32,10
68,1,42,7
69,2,32,7
624,1,48,5
628,1,24,10
629,2,55,5
634,1,58,5
636,2,32,9
638,1,51,3
639,1,51,5
642,2,24,3
643,2,56,6
647,1,41,7
650,1,56,5
654,2,41,6
666,2,56,9
668,1,55,6
670,1,48,8
671,2,39,1
676,1,26,5
684,2,53,6
686,2,45,1
689,1,48,10
698,2,46,4
6101,1,57,8
6103,1,43,2
6105,2,35,10
6107,1,34,2
6108,2,50,8
6109,2,55,9
6122,2,23,10
6131,2,37,9
6137,2,29,10
6144,2,48,8
6153,1,51,2
6174,2,45,4
6187,2,33,4
6189,1,30,3
6192,2,50,5
6199,1,31,4
6204,1,43,2
6212,2,42,10
6213,1,57,2
6218,2,55,2
6220,1,55,9
6222,1,41,3
6223,2,32,10
6225,1,60,1
6237,2,52,9
6244,1,28,4
6251,1,53,3
6252,1,33,8
6268,1,41,6
6279,2,29,9
6288,2,37,1
6291,1,38,8
6297,2,60,7
6300,1,37,9
6302,1,51,4
6303,2,45,5
6307,1,28,6
6323,1,32,5
6338,2,52,10
6365,1,46,8
6368,2,44,1
6379,1,49,5
6383,1,25,2
6393,2,49,6
6396,1,27,1
6397,1,53,2
6410,2,41,1
6424,1,35,4
6433,1,25,1
6435,1,25,2
6440,2,44,1
6441,1,39,9
6447,1,37,8
6448,2,55,3
6450,1,47,2
6451,1,60,7
6457,1,53,5
6459,1,41,6
6479,2,44,8
6482,1,56,9
6485,2,52,5
6489,1,50,9
6495,1,34,4
6503,2,59,6
6507,1,60,6
6524,1,47,8
6532,1,39,10
6540,2,58,1
6550,1,34,1
6553,1,30,10
6556,1,46,7
6557,1,56,7
6561,2,23,5
6564,2,42,8
6569,2,50,10
6570,1,23,7
6572,2,38,1
6574,2,26,2
6575,1,28,1
6580,1,59,7
6581,1,55,4
6582,2,28,8
6598,1,39,5
6605,1,33,1
6612,2,51,7
6616,2,35,8
6620,2,23,5
6621,1,50,7
6623,2,56,10
6639,2,47,1
6650,2,44,1
6659,2,47,10
6662,1,54,3
6675,1,52,2
6687,1,51,8
6690,1,28,6
6697,2,32,2
6699,2,41,4
6708,1,58,2
6713,1,41,2
6718,2,21,5
6720,2,31,6
6732,2,54,7
6735,2,34,9
6740,2,56,5
6741,1,53,6
6746,2,50,2
6750,1,58,4
6759,1,32,5
6765,2,30,2
6769,1,56,8
6793,2,32,10
6799,1,45,9
6800,2,58,9
6801,2,40,3
6806,2,24,1
6809,1,42,4
6828,2,44,10
6832,2,20,9
6841,1,29,4
6844,1,29,10
6850,1,35,6
6851,2,30,7
6853,2,37,3
6859,2,22,1
6872,2,58,10
6878,1,33,6
6880,2,49,10
6885,2,35,6
6888,2,41,8
6889,2,27,5
6893,2,58,8
6894,1,59,2
6895,1,52,10
6904,2,56,4
6910,2,44,1
6911,2,54,7
6932,1,50,1
6938,1,20,5
6939,2,24,7
6941,1,41,2
6948,2,48,1
6950,2,53,1
6951,2,58,6
6959,1,36,2
6961,1,50,3
6985,1,54,7
6992,2,25,8
61000,1,38,4
61001,1,46,7
61006,1,32,8
61009,1,59,7
61020,2,45,2
61030,1,55,3
61051,2,45,9
61052,2,29,4
61063,1,45,5
61105,1,29,6
61106,2,23,7
61113,2,29,3
61119,2,40,3
61131,2,41,6
61132,2,49,7
61137,2,47,3
61144,1,43,6
61150,1,40,8
61151,2,35,3
61155,1,25,8
61157,1,49,9
61200,2,24,5
61213,2,49,2
61216,1,48,2
61218,2,32,7
61224,1,34,6
61234,2,34,2
61247,1,39,3
61250,1,27,2
61251,2,39,5
61265,2,49,8
61267,2,23,5
61272,2,31,9
61276,1,53,3
61287,2,54,3
61299,2,56,1
61301,2,51,2
61304,1,24,9
61316,2,21,8
61319,2,35,8
61322,2,24,2
61326,2,54,3
61327,1,46,1
61328,2,38,8
61346,2,48,2
61348,1,57,6
61358,2,37,4
61362,1,23,2
61365,1,39,9
61375,2,31,10
61384,1,43,7
61385,2,32,4
61389,1,56,4
61391,1,47,7
61402,1,51,1
61403,1,60,5
61409,2,57,2
61412,1,27,4
61414,1,41,6
61416,2,39,4
61418,2,26,2
